batch_id,source,variant,variant_label,model,n_runs_requested,n_runs_completed,grid_level,subdivision,visual_condition,visual_condition_label,n_paths,n_parsed,n_parsing_failures,mean_precision,var_precision,sample_var_precision,std_precision,min_precision,max_precision,mean_recall,var_recall,sample_var_recall,std_recall,min_recall,max_recall,mean_f1,var_f1,sample_var_f1,std_f1,min_f1,max_f1,mean_tile_accuracy,var_tile_accuracy,sample_var_tile_accuracy,std_tile_accuracy,min_tile_accuracy,max_tile_accuracy,mean_missed_tile_rate,var_missed_tile_rate,sample_var_missed_tile_rate,std_missed_tile_rate,min_missed_tile_rate,max_missed_tile_rate,mean_extra_tile_rate,var_extra_tile_rate,sample_var_extra_tile_rate,std_extra_tile_rate,min_extra_tile_rate,max_extra_tile_rate,exact_match_rate,var_exact_match,sample_var_exact_match,std_exact_match
case3_batch_20260619_224011,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260619_224011/batch_manifest.json,L1_grid_labels,L1: Grid + labels,gpt-5.5,3,3,1.0,2.0,grid_labels,Grid + labels,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.2319,0.0017,0.0025,0.0412,0.1739,0.2609,0.3746,0.0031,0.0046,0.0557,0.2963,0.4138,0.2319,0.0017,0.0025,0.0412,0.1739,0.2609,0.7681,0.0017,0.0025,0.0412,0.7391,0.8261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3_batch_20260619_224011,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260619_224011/batch_manifest.json,L2_path_only,L2: No annotations,gpt-5.5,3,3,2.0,4.0,path_only,No annotations,3,3,0,0.6924,0.1267,0.1901,0.3559,0.1935,1.0,0.6377,0.1315,0.1972,0.3626,0.1304,0.9565,0.6625,0.1309,0.1964,0.3618,0.1558,0.9778,0.6377,0.1315,0.1972,0.3626,0.1304,0.9565,0.3623,0.1315,0.1972,0.3626,0.0435,0.8696,0.3076,0.1267,0.1901,0.3559,0.0,0.8065,0.0,0.0,0.0,0.0
case3_batch_20260619_224011,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260619_224011/batch_manifest.json,L2_grid,L2: Grid,gpt-5.5,3,3,2.0,4.0,grid,Grid,3,3,0,0.3879,0.0008,0.0012,0.0283,0.3485,0.4091,0.5507,0.0014,0.002,0.0374,0.5,0.587,0.4552,0.001,0.0015,0.0316,0.4107,0.4821,0.5507,0.0014,0.002,0.0374,0.5,0.587,0.4493,0.0014,0.002,0.0374,0.413,0.5,0.6121,0.0008,0.0012,0.0283,0.5909,0.6515,0.0,0.0,0.0,0.0
case3_batch_20260619_224011,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260619_224011/batch_manifest.json,L2_grid_labels,L2: Grid + labels,gpt-5.5,3,3,2.0,4.0,grid_labels,Grid + labels,3,3,0,0.4861,0.0143,0.0214,0.1196,0.3333,0.625,0.0507,0.0017,0.0025,0.0412,0.0217,0.1087,0.0892,0.0046,0.0069,0.0678,0.0408,0.1852,0.0507,0.0017,0.0025,0.0412,0.0217,0.1087,0.9493,0.0017,0.0025,0.0412,0.8913,0.9783,0.5139,0.0143,0.0214,0.1196,0.375,0.6667,0.0,0.0,0.0,0.0
case3_batch_20260620_072523,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_072523/batch_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,3,3,0.0,1.0,path_only,No annotations,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
case3_batch_20260620_072523,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_072523/batch_manifest.json,L0_grid,L0: Grid,gpt-5.5,3,3,0.0,1.0,grid,Grid,3,3,0,0.9047,0.0045,0.0068,0.0671,0.8571,1.0,0.9231,0.0,0.0,0.0,0.9231,0.9231,0.9126,0.0011,0.0017,0.0332,0.8889,0.96,0.9231,0.0,0.0,0.0,0.9231,0.9231,0.0769,0.0,0.0,0.0,0.0769,0.0769,0.0953,0.0045,0.0068,0.0671,0.0,0.1429,0.0,0.0,0.0,0.0
case3_batch_20260620_072523,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_072523/batch_manifest.json,L0_grid_labels,L0: Grid + labels,gpt-5.5,3,3,0.0,1.0,grid_labels,Grid + labels,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.9231,0.0,0.0,0.0,0.9231,0.9231,0.96,0.0,0.0,0.0,0.96,0.96,0.9231,0.0,0.0,0.0,0.9231,0.9231,0.0769,0.0,0.0,0.0,0.0769,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3_batch_20260620_072523,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_072523/batch_manifest.json,L1_path_only,L1: No annotations,gpt-5.5,3,3,1.0,2.0,path_only,No annotations,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.84,0.0,0.0,0.0,0.84,0.84,0.913,0.0,0.0,0.0,0.913,0.913,0.84,0.0,0.0,0.0,0.84,0.84,0.16,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3_batch_20260620_072523,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_072523/batch_manifest.json,L1_grid,L1: Grid,gpt-5.5,3,3,1.0,2.0,grid,Grid,3,3,0,0.5192,0.0021,0.0031,0.0458,0.4565,0.5625,0.8,0.0032,0.0048,0.0566,0.72,0.84,0.6264,0.0007,0.0011,0.0265,0.5915,0.6562,0.8,0.0032,0.0048,0.0566,0.72,0.84,0.2,0.0032,0.0048,0.0566,0.16,0.28,0.4808,0.0021,0.0031,0.0458,0.4375,0.5435,0.0,0.0,0.0,0.0
case3_batch_20260620_072523,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_072523/batch_manifest.json,L1_grid_labels,L1: Grid + labels,gpt-5.5,3,3,1.0,2.0,grid_labels,Grid + labels,3,3,0,0.4667,0.0563,0.0844,0.2373,0.2667,0.8,0.2667,0.0057,0.0085,0.0755,0.16,0.32,0.2947,0.0006,0.0009,0.0245,0.2667,0.3265,0.2667,0.0057,0.0085,0.0755,0.16,0.32,0.7333,0.0057,0.0085,0.0755,0.68,0.84,0.5333,0.0563,0.0844,0.2373,0.2,0.7333,0.0,0.0,0.0,0.0
case3_batch_20260620_072523,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_072523/batch_manifest.json,L2_path_only,L2: No annotations,gpt-5.5,3,3,2.0,4.0,path_only,No annotations,3,3,0,0.3333,0.2222,0.3333,0.4714,0.0,1.0,0.28,0.1568,0.2352,0.396,0.0,0.84,0.3043,0.1852,0.2779,0.4303,0.0,0.913,0.28,0.1568,0.2352,0.396,0.0,0.84,0.72,0.1568,0.2352,0.396,0.16,1.0,0.6667,0.2222,0.3333,0.4714,0.0,1.0,0.0,0.0,0.0,0.0
case3_batch_20260620_072523,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_072523/batch_manifest.json,L2_grid,L2: Grid,gpt-5.5,3,3,2.0,4.0,grid,Grid,3,3,0,0.6336,0.013,0.0195,0.114,0.4722,0.7143,0.28,0.0168,0.0252,0.1296,0.1,0.4,0.3612,0.0196,0.0293,0.14,0.1754,0.5128,0.28,0.0168,0.0252,0.1296,0.1,0.4,0.72,0.0168,0.0252,0.1296,0.6,0.9,0.3664,0.013,0.0195,0.114,0.2857,0.5278,0.0,0.0,0.0,0.0
case3_batch_20260620_072523,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_072523/batch_manifest.json,L2_grid_labels,L2: Grid + labels,gpt-5.5,3,3,2.0,4.0,grid_labels,Grid + labels,3,3,0,0.1667,0.0185,0.0278,0.136,0.0,0.3333,0.0533,0.0025,0.0037,0.05,0.0,0.12,0.0803,0.0053,0.008,0.0728,0.0,0.1765,0.0533,0.0025,0.0037,0.05,0.0,0.12,0.9467,0.0025,0.0037,0.05,0.88,1.0,0.8333,0.0185,0.0278,0.136,0.6667,1.0,0.0,0.0,0.0,0.0
case3_batch_20260620_092907,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_092907/batch_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,3,3,0.0,1.0,path_only,No annotations,3,3,0,0.2698,0.0081,0.0121,0.09,0.1429,0.3333,0.1297,0.0027,0.0041,0.052,0.0556,0.1667,0.1748,0.0045,0.0067,0.0671,0.08,0.2222,0.1297,0.0027,0.0041,0.052,0.0556,0.1667,0.8703,0.0027,0.0041,0.052,0.8333,0.9444,0.7302,0.0081,0.0121,0.09,0.6667,0.8571,0.0,0.0,0.0,0.0
case3_batch_20260620_092907,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_092907/batch_manifest.json,L0_grid,L0: Grid,gpt-5.5,3,3,0.0,1.0,grid,Grid,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.9629,0.0007,0.001,0.0265,0.9444,1.0,0.9809,0.0002,0.0003,0.0141,0.9714,1.0,0.9629,0.0007,0.001,0.0265,0.9444,1.0,0.0371,0.0007,0.001,0.0265,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.2222,0.3333,0.4714
case3_batch_20260620_092907,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_092907/batch_manifest.json,L0_grid_labels,L0: Grid + labels,gpt-5.5,3,3,0.0,1.0,grid_labels,Grid + labels,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.9815,0.0007,0.001,0.0265,0.9444,1.0,0.9905,0.0002,0.0003,0.0141,0.9714,1.0,0.9815,0.0007,0.001,0.0265,0.9444,1.0,0.0185,0.0007,0.001,0.0265,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.2222,0.3333,0.4714
case3_batch_20260620_092907,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_092907/batch_manifest.json,L1_path_only,L1: No annotations,gpt-5.5,3,3,1.0,2.0,path_only,No annotations,3,3,0,0.6743,0.1784,0.2677,0.4224,0.0769,0.973,0.6852,0.1982,0.2973,0.4452,0.0556,1.0,0.679,0.1888,0.2832,0.4345,0.0645,0.9863,0.6852,0.1982,0.2973,0.4452,0.0556,1.0,0.3148,0.1982,0.2973,0.4452,0.0,0.9444,0.3257,0.1784,0.2677,0.4224,0.027,0.9231,0.0,0.0,0.0,0.0
case3_batch_20260620_092907,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_092907/batch_manifest.json,L1_grid,L1: Grid,gpt-5.5,3,3,1.0,2.0,grid,Grid,3,3,0,0.8873,0.0107,0.0161,0.1034,0.75,1.0,0.7315,0.013,0.0196,0.114,0.5833,0.8611,0.7908,0.0045,0.0068,0.0671,0.7368,0.8857,0.7315,0.013,0.0196,0.114,0.5833,0.8611,0.2685,0.013,0.0196,0.114,0.1389,0.4167,0.1127,0.0107,0.0161,0.1034,0.0,0.25,0.0,0.0,0.0,0.0
case3_batch_20260620_092907,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_092907/batch_manifest.json,L1_grid_labels,L1: Grid + labels,gpt-5.5,3,3,1.0,2.0,grid_labels,Grid + labels,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.1389,0.0,0.0,0.0,0.1389,0.1389,0.2439,0.0,0.0,0.0,0.2439,0.2439,0.1389,0.0,0.0,0.0,0.1389,0.1389,0.8611,0.0,0.0,0.0,0.8611,0.8611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3_batch_20260620_092907,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_092907/batch_manifest.json,L2_path_only,L2: No annotations,gpt-5.5,3,3,2.0,4.0,path_only,No annotations,3,3,0,0.3244,0.1835,0.2752,0.4284,0.0,0.9296,0.3105,0.1763,0.2645,0.4199,0.0,0.9041,0.3168,0.1801,0.2702,0.4244,0.0,0.9167,0.3105,0.1763,0.2645,0.4199,0.0,0.9041,0.6895,0.1763,0.2645,0.4199,0.0959,1.0,0.6756,0.1835,0.2752,0.4284,0.0704,1.0,0.0,0.0,0.0,0.0
case3_batch_20260620_092907,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_092907/batch_manifest.json,L2_grid,L2: Grid,gpt-5.5,3,3,2.0,4.0,grid,Grid,3,3,0,0.9545,0.0041,0.0062,0.064,0.8636,1.0,0.1005,0.0128,0.0192,0.1131,0.0137,0.2603,0.1601,0.0289,0.0433,0.17,0.027,0.4,0.1005,0.0128,0.0192,0.1131,0.0137,0.2603,0.8995,0.0128,0.0192,0.1131,0.7397,0.9863,0.0455,0.0041,0.0062,0.064,0.0,0.1364,0.0,0.0,0.0,0.0
case3_batch_20260620_092907,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260620_092907/batch_manifest.json,L2_grid_labels,L2: Grid + labels,gpt-5.5,3,3,2.0,4.0,grid_labels,Grid + labels,3,3,0,0.5,0.1667,0.25,0.4083,0.0,1.0,0.0776,0.003,0.0046,0.0548,0.0,0.1233,0.1318,0.0087,0.013,0.0933,0.0,0.1978,0.0776,0.003,0.0046,0.0548,0.0,0.1233,0.9224,0.003,0.0046,0.0548,0.8767,1.0,0.5,0.1667,0.25,0.4083,0.0,1.0,0.0,0.0,0.0,0.0
