batch_id,run_id,variant,variant_label,grid_level,subdivision,visual_condition,visual_condition_label,turn_count,turn_difficulty,turn_difficulty_label,model,status,metric,value
case3_batch_20260618_134814,case3_batch_20260618_134814_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260618_153841,case3_batch_20260618_153841_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260618_153841,case3_batch_20260618_153841_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260618_153841,case3_batch_20260618_153841_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260618_163354,case3_batch_20260618_163354_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.2
case3_batch_20260618_163354,case3_batch_20260618_163354_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.2
case3_batch_20260618_163354,case3_batch_20260618_163354_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.2
case3_batch_20260618_172720,case3_batch_20260618_172720_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.375
case3_batch_20260618_172720,case3_batch_20260618_172720_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.375
case3_batch_20260618_172720,case3_batch_20260618_172720_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.375
case3_batch_20260618_182254,case3_batch_20260618_182254_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,5,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.3
case3_batch_20260618_182254,case3_batch_20260618_182254_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,5,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.3
case3_batch_20260618_182254,case3_batch_20260618_182254_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,5,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.3
case3_batch_20260618_204353,case3_batch_20260618_204353_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0
case3_batch_20260618_204353,case3_batch_20260618_204353_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0
case3_batch_20260618_204353,case3_batch_20260618_204353_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0
case3_batch_20260619_070036,case3_batch_20260619_070036_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_070036,case3_batch_20260619_070036_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_070036,case3_batch_20260619_070036_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_081640,case3_batch_20260619_081640_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.2
case3_batch_20260619_081640,case3_batch_20260619_081640_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.1875
case3_batch_20260619_081640,case3_batch_20260619_081640_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.2222
case3_batch_20260619_100136,case3_batch_20260619_100136_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_100136,case3_batch_20260619_100136_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_100136,case3_batch_20260619_100136_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_120917,case3_batch_20260619_120917_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0
case3_batch_20260619_120917,case3_batch_20260619_120917_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0
case3_batch_20260619_120917,case3_batch_20260619_120917_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.0
case3_batch_20260619_134156,case3_batch_20260619_134156_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_134156,case3_batch_20260619_134156_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_134156,case3_batch_20260619_134156_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_181559,case3_batch_20260619_181559_run_001,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.0909
case3_batch_20260619_181559,case3_batch_20260619_181559_run_002,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.0
case3_batch_20260619_181559,case3_batch_20260619_181559_run_003,L1_path_only,L1: No annotations,1.0,2.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.0
